2017-05-15T06:07:04.133Z INFO    ConnectionProfileManager :constructor()             Created a new ConnectionProfileManager {"0":{"fs":{"constants":{"O_RDONLY":0,"O_WRONLY":1,"O_RDWR":2,"S_IFMT":61440,"S_IFREG":32768,"S_IFDIR":16384,"S_IFCHR":8192,"S_IFBLK":24576,"S_IFIFO":4096,"S_IFLNK":40960,"S_IFSOCK":49152,"O_CREAT":64,"O_EXCL":128,"O_NOCTTY":256,"O_TRUNC":512,"O_APPEND":1024,"O_DIRECTORY":65536,"O_NOATIME":262144,"O_NOFOLLOW":131072,"O_SYNC":4096,"O_DIRECT":16384,"O_NONBLOCK":2048,"S_IRWXU":448,"S_IRUSR":256,"S_IWUSR":128,"S_IXUSR":64,"S_IRWXG":56,"S_IRGRP":32,"S_IWGRP":16,"S_IXGRP":8,"S_IRWXO":7,"S_IROTH":4,"S_IWOTH":2,"S_IXOTH":1,"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1},"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1}}}$
2017-05-15T06:07:04.135Z INFO    ConnectionProfileManager :connect()                 Connecting using praveenNode {"0":"com.novartis.iandd"}$
2017-05-15T06:07:04.164Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile praveenNode {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://10.134.237.57:7054\",\n    \"peerURL\": \"grpc://10.134.237.57:7051\",\n    \"eventHubURL\": \"grpc://10.134.237.57:7053\",\n    \"keyValStore\": \"/home/satyasaridaes/.praveen-composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"com.novartis.iandd\": \"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17\"\n    }\n}"}$
2017-05-15T06:07:04.165Z INFO    ConnectionProfileManager :getConnectionManager()    Looking up a connection manager for profile {"0":"praveenNode"}$
2017-05-15T06:07:04.167Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile praveenNode {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://10.134.237.57:7054\",\n    \"peerURL\": \"grpc://10.134.237.57:7051\",\n    \"eventHubURL\": \"grpc://10.134.237.57:7053\",\n    \"keyValStore\": \"/home/satyasaridaes/.praveen-composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"com.novartis.iandd\": \"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17\"\n    }\n}"}$
2017-05-15T06:07:04.545Z INFO    ConnectionProfileManager :getConnectionManager()    Using this connection manager  {"0":{"connectionProfileManager":{"connectionProfileStore":{"fs":{"constants":{"O_RDONLY":0,"O_WRONLY":1,"O_RDWR":2,"S_IFMT":61440,"S_IFREG":32768,"S_IFDIR":16384,"S_IFCHR":8192,"S_IFBLK":24576,"S_IFIFO":4096,"S_IFLNK":40960,"S_IFSOCK":49152,"O_CREAT":64,"O_EXCL":128,"O_NOCTTY":256,"O_TRUNC":512,"O_APPEND":1024,"O_DIRECTORY":65536,"O_NOATIME":262144,"O_NOFOLLOW":131072,"O_SYNC":4096,"O_DIRECT":16384,"O_NONBLOCK":2048,"S_IRWXU":448,"S_IRUSR":256,"S_IWUSR":128,"S_IXUSR":64,"S_IRWXG":56,"S_IRGRP":32,"S_IWGRP":16,"S_IXGRP":8,"S_IRWXO":7,"S_IROTH":4,"S_IWOTH":2,"S_IXOTH":1,"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1},"F_OK":0,"R_OK":4,"W_OK":2,"X_OK":1}}}}}$
2017-05-15T06:07:04.549Z INFO    HFCConnectionManager     :connect()                 Creating new HFC chain for com.novartis.iandd@praveenNode {"0":"{\"type\":\"hlf\",\"membershipServicesURL\":\"grpc://10.134.237.57:7054\",\"peerURL\":\"grpc://10.134.237.57:7051\",\"eventHubURL\":\"grpc://10.134.237.57:7053\",\"keyValStore\":\"/home/satyasaridaes/.praveen-composer-credentials\",\"deployWaitTime\":\"300\",\"invokeWaitTime\":\"100\",\"networks\":{\"com.novartis.iandd\":\"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17\"}}"}$
2017-05-15T06:07:04.648Z INFO    HFCConnection            :constructor()             Creating connection {"0":"com.novartis.iandd@praveenNode"}$
2017-05-15T06:07:04.649Z INFO    HFCConnection            :login()                   Login attempt {"0":"com.novartis.iandd"}$
2017-05-15T06:07:04.651Z INFO    HFCConnection            :login()                   Successful login {"0":"com.novartis.iandd@praveenNode"}$
2017-05-15T06:07:04.652Z INFO    FSConnectionProfileStore :load()                    Loaded connection profile praveenNode {"0":"{\n    \"type\": \"hlf\",\n    \"membershipServicesURL\": \"grpc://10.134.237.57:7054\",\n    \"peerURL\": \"grpc://10.134.237.57:7051\",\n    \"eventHubURL\": \"grpc://10.134.237.57:7053\",\n    \"keyValStore\": \"/home/satyasaridaes/.praveen-composer-credentials\",\n    \"deployWaitTime\": \"300\",\n    \"invokeWaitTime\": \"100\",\n    \"networks\": {\n        \"com.novartis.iandd\": \"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17\"\n    }\n}"}$
2017-05-15T06:07:04.653Z INFO    HFCConnection            :login()                   Loaded profile {"0":"{\"type\":\"hlf\",\"membershipServicesURL\":\"grpc://10.134.237.57:7054\",\"peerURL\":\"grpc://10.134.237.57:7051\",\"eventHubURL\":\"grpc://10.134.237.57:7053\",\"keyValStore\":\"/home/satyasaridaes/.praveen-composer-credentials\",\"deployWaitTime\":\"300\",\"invokeWaitTime\":\"100\",\"networks\":{\"com.novartis.iandd\":\"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17\"}}"}$
2017-05-15T06:07:04.653Z INFO    HFCConnection            :login()                   Loaded chaincode id for network com.novartis.iandd {"0":"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17"}$
2017-05-15T06:07:04.654Z INFO    HFCUtil                  :queryChainCode()          enrolledMember {"name":"WebAppAdmin","enrollment":{"key":"56b29904095a4bac56d668d5f952241a88b022cb437cd49afcf6280a3bafc0d8","cert":"308201b63082015da003020102020101300a06082a8648ce3d0403033031310b300906035504061302555331143012060355040a130b48797065726c6564676572310c300a06035504031303656361301e170d3137303531353036303335335a170d3137303831333036303335335a3047310b300906035504061302555331143012060355040a130b48797065726c65646765723122302006035504030c1957656241707041646d696e5c696e737469747574696f6e5f613059301306072a8648ce3d020106082a8648ce3d0301070342000407d7bf6d514f9fcbf1683f9d46dcbe0e9dcb4868dad9ac76137fc14e7ebc44ef1fea8b032aeace10cc3e667edf4cd954861519abb1f307475e9a5eca6348f9e6a350304e300e0603551d0f0101ff040403020780300c0603551d130101ff04023000300d0603551d0e0406040401020304300f0603551d2304083006800401020304300e06065103040506070101ff040131300a06082a8648ce3d040303034700304402201ed38cd01e7cd15263fc6cfb32f67be74673c86b45460ec645f39ca3f54bb600022015f9ca1dd26aa537bc6e24b3f95baf1078ed54c002c524e423a0bd59a383da93","chainKey":"2d2d2d2d2d424547494e204543445341205055424c4943204b45592d2d2d2d2d0a4d466b77457759484b6f5a497a6a3043415159494b6f5a497a6a30444151634451674145584f517956535069513159742f55614f685064735149436d554d43750a3178707a36595933456e684d6c6d654b796a37792f6c456269774b77434158507a30597a2f6f534570484f4b746145547043595278616c4743773d3d0a2d2d2d2d2d454e44204543445341205055424c4943204b45592d2d2d2d2d0a","queryStateKey":{"type":"Buffer","data":[131,42,185,194,70,157,104,196,170,162,0,139,21,172,121,209,183,130,168,127,117,61,105,76]}}} {"0":{"chaincodeID":"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17","fcn":"ping","args":[],"attrs":["userID"]}}$
2017-05-15T06:07:07.243Z INFO    HFCUtil                  :queryChainCode()          onComplete {"name":"WebAppAdmin","enrollment":{"key":"56b29904095a4bac56d668d5f952241a88b022cb437cd49afcf6280a3bafc0d8","cert":"308201b63082015da003020102020101300a06082a8648ce3d0403033031310b300906035504061302555331143012060355040a130b48797065726c6564676572310c300a06035504031303656361301e170d3137303531353036303335335a170d3137303831333036303335335a3047310b300906035504061302555331143012060355040a130b48797065726c65646765723122302006035504030c1957656241707041646d696e5c696e737469747574696f6e5f613059301306072a8648ce3d020106082a8648ce3d0301070342000407d7bf6d514f9fcbf1683f9d46dcbe0e9dcb4868dad9ac76137fc14e7ebc44ef1fea8b032aeace10cc3e667edf4cd954861519abb1f307475e9a5eca6348f9e6a350304e300e0603551d0f0101ff040403020780300c0603551d130101ff04023000300d0603551d0e0406040401020304300f0603551d2304083006800401020304300e06065103040506070101ff040131300a06082a8648ce3d040303034700304402201ed38cd01e7cd15263fc6cfb32f67be74673c86b45460ec645f39ca3f54bb600022015f9ca1dd26aa537bc6e24b3f95baf1078ed54c002c524e423a0bd59a383da93","chainKey":"2d2d2d2d2d424547494e204543445341205055424c4943204b45592d2d2d2d2d0a4d466b77457759484b6f5a497a6a3043415159494b6f5a497a6a30444151634451674145584f517956535069513159742f55614f685064735149436d554d43750a3178707a36595933456e684d6c6d654b796a37792f6c456269774b77434158507a30597a2f6f534570484f4b746145547043595278616c4743773d3d0a2d2d2d2d2d454e44204543445341205055424c4943204b45592d2d2d2d2d0a","queryStateKey":{"type":"Buffer","data":[131,42,185,194,70,157,104,196,170,162,0,139,21,172,121,209,183,130,168,127,117,61,105,76]}}} {"0":{"chaincodeID":"5050d52b5d85e14a9f54efd86dd35bb1abba971926ce6a89c7c8e82fa3a3ef17","fcn":"ping","args":[],"attrs":["userID"]}}$
2017-05-15T06:07:07.247Z INFO    HFCConnection            :ping()                    Successful ping {"0":"0.7.2","1":"0.7.2","2":"^0.7.2"}$
